language,voice_id
Afrikaans,TxGEqnHWrfWFTfGW9XjX
Albanian,TxGEqnHWrfWFTfGW9XjX
Amharic,TxGEqnHWrfWFTfGW9XjX
Arabic,TxGEqnHWrfWFTfGW9XjX
Armenian,TxGEqnHWrfWFTfGW9XjX
Azerbaijani,TxGEqnHWrfWFTfGW9XjX
Basque,TxGEqnHWrfWFTfGW9XjX
Bengali,TxGEqnHWrfWFTfGW9XjX
Bosnian,TxGEqnHWrfWFTfGW9XjX
Bulgarian,TxGEqnHWrfWFTfGW9XjX
Catalan,TxGEqnHWrfWFTfGW9XjX
Chinese,TxGEqnHWrfWFTfGW9XjX
Croatian,TxGEqnHWrfWFTfGW9XjX
Czech,TxGEqnHWrfWFTfGW9XjX
Danish,TxGEqnHWrfWFTfGW9XjX
Dutch,TxGEqnHWrfWFTfGW9XjX
English,TxGEqnHWrfWFTfGW9XjX
Esperanto,TxGEqnHWrfWFTfGW9XjX
Estonian,TxGEqnHWrfWFTfGW9XjX
Finnish,TxGEqnHWrfWFTfGW9XjX
French,TxGEqnHWrfWFTfGW9XjX
Welsh,TxGEqnHWrfWFTfGW9XjX
Georgian,TxGEqnHWrfWFTfGW9XjX
German,TxGEqnHWrfWFTfGW9XjX
Greek,TxGEqnHWrfWFTfGW9XjX
Gujarati,TxGEqnHWrfWFTfGW9XjX
Hebrew,TxGEqnHWrfWFTfGW9XjX
Hindi,TxGEqnHWrfWFTfGW9XjX
Hungarian,TxGEqnHWrfWFTfGW9XjX
Indonesian,ACRfKVNOAnzVitkYerdl
Italian,TxGEqnHWrfWFTfGW9XjX
Japanese,TxGEqnHWrfWFTfGW9XjX
Kannada,TxGEqnHWrfWFTfGW9XjX
Kazakh,TxGEqnHWrfWFTfGW9XjX
Korean,TxGEqnHWrfWFTfGW9XjX
Kurdish,TxGEqnHWrfWFTfGW9XjX
Kyrgyz,TxGEqnHWrfWFTfGW9XjX
Latvian,TxGEqnHWrfWFTfGW9XjX
Lithuanian,TxGEqnHWrfWFTfGW9XjX
Malay,TxGEqnHWrfWFTfGW9XjX
Malayalam,TxGEqnHWrfWFTfGW9XjX
Maltese,TxGEqnHWrfWFTfGW9XjX
Marathi,TxGEqnHWrfWFTfGW9XjX
Norwegian,TxGEqnHWrfWFTfGW9XjX
Pashto,TxGEqnHWrfWFTfGW9XjX
Polish,TxGEqnHWrfWFTfGW9XjX
Portuguese,TxGEqnHWrfWFTfGW9XjX
Punjabi,TxGEqnHWrfWFTfGW9XjX
Romanian,TxGEqnHWrfWFTfGW9XjX
Russian,TxGEqnHWrfWFTfGW9XjX
Serbian,TxGEqnHWrfWFTfGW9XjX
Slovak,TxGEqnHWrfWFTfGW9XjX
Slovenian,TxGEqnHWrfWFTfGW9XjX
Somali,TxGEqnHWrfWFTfGW9XjX
Spanish,TxGEqnHWrfWFTfGW9XjX
Swahili,TxGEqnHWrfWFTfGW9XjX
Swedish,TxGEqnHWrfWFTfGW9XjX
Tajik,TxGEqnHWrfWFTfGW9XjX
Tamil,TxGEqnHWrfWFTfGW9XjX
Telugu,TxGEqnHWrfWFTfGW9XjX
Thai,TxGEqnHWrfWFTfGW9XjX
Turkish,TxGEqnHWrfWFTfGW9XjX
Turkmen,TxGEqnHWrfWFTfGW9XjX
Ukrainian,TxGEqnHWrfWFTfGW9XjX
Urdu,TxGEqnHWrfWFTfGW9XjX
Uyghur,TxGEqnHWrfWFTfGW9XjX
Uzbek,TxGEqnHWrfWFTfGW9XjX
Vietnamese,TxGEqnHWrfWFTfGW9XjX
Xhosa,TxGEqnHWrfWFTfGW9XjX
Yoruba,TxGEqnHWrfWFTfGW9XjX
Zulu,TxGEqnHWrfWFTfGW9XjX
